Category: All categories

Week,Energy: (Portugal),Amusement park: (Portugal)
2010-01-03,67,3
2010-01-10,73,3
2010-01-17,71,4
2010-01-24,73,2
2010-01-31,74,0
2010-02-07,67,2
2010-02-14,55,2
2010-02-21,71,1
2010-02-28,67,3
2010-03-07,69,0
2010-03-14,67,2
2010-03-21,63,0
2010-03-28,43,6
2010-04-04,57,2
2010-04-11,73,3
2010-04-18,88,1
2010-04-25,72,0
2010-05-02,83,2
2010-05-09,79,0
2010-05-16,97,2
2010-05-23,100,5
2010-05-30,85,3
2010-06-06,69,4
2010-06-13,49,3
2010-06-20,40,6
2010-06-27,47,7
2010-07-04,47,2
2010-07-11,37,3
2010-07-18,33,3
2010-07-25,48,2
2010-08-01,44,2
2010-08-08,37,2
2010-08-15,34,5
2010-08-22,39,0
2010-08-29,30,4
2010-09-05,37,3
2010-09-12,53,0
2010-09-19,54,2
2010-09-26,54,1
2010-10-03,48,0
2010-10-10,60,2
2010-10-17,49,2
2010-10-24,57,2
2010-10-31,62,2
2010-11-07,60,0
2010-11-14,66,3
2010-11-21,60,4
2010-11-28,58,1
2010-12-05,55,3
2010-12-12,51,0
2010-12-19,33,2
2010-12-26,28,4
