Category: All categories

Week,Travel agency: (Portugal)
2017-01-01,70
2017-01-08,56
2017-01-15,100
2017-01-22,99
2017-01-29,90
2017-02-05,66
2017-02-12,67
2017-02-19,94
2017-02-26,81
2017-03-05,82
2017-03-12,90
2017-03-19,87
2017-03-26,82
2017-04-02,85
2017-04-09,72
2017-04-16,60
2017-04-23,77
2017-04-30,78
2017-05-07,90
2017-05-14,95
2017-05-21,79
2017-05-28,74
2017-06-04,83
2017-06-11,67
2017-06-18,62
2017-06-25,82
2017-07-02,72
2017-07-09,97
2017-07-16,89
2017-07-23,67
2017-07-30,80
2017-08-06,85
2017-08-13,50
2017-08-20,72
2017-08-27,66
2017-09-03,66
2017-09-10,67
2017-09-17,72
2017-09-24,68
2017-10-01,55
2017-10-08,62
2017-10-15,69
2017-10-22,63
2017-10-29,55
2017-11-05,47
2017-11-12,58
2017-11-19,68
2017-11-26,38
2017-12-03,53
2017-12-10,34
2017-12-17,32
2017-12-24,57
2017-12-31,58
