Category: All categories

Week,Energy: (Portugal),Novel: (Portugal)
2015-01-04,88,6
2015-01-11,100,4
2015-01-18,92,8
2015-01-25,87,6
2015-02-01,77,5
2015-02-08,77,4
2015-02-15,67,8
2015-02-22,93,7
2015-03-01,83,4
2015-03-08,82,6
2015-03-15,81,6
2015-03-22,73,8
2015-03-29,57,9
2015-04-05,72,6
2015-04-12,81,6
2015-04-19,76,6
2015-04-26,71,7
2015-05-03,77,6
2015-05-10,82,8
2015-05-17,77,5
2015-05-24,82,7
2015-05-31,71,7
2015-06-07,74,5
2015-06-14,66,7
2015-06-21,56,8
2015-06-28,55,7
2015-07-05,50,6
2015-07-12,50,8
2015-07-19,50,9
2015-07-26,56,10
2015-08-02,41,10
2015-08-09,43,8
2015-08-16,46,7
2015-08-23,46,10
2015-08-30,53,10
2015-09-06,52,8
2015-09-13,50,10
2015-09-20,58,6
2015-09-27,63,7
2015-10-04,63,7
2015-10-11,66,7
2015-10-18,64,6
2015-10-25,68,7
2015-11-01,69,6
2015-11-08,63,5
2015-11-15,64,5
2015-11-22,68,8
2015-11-29,71,6
2015-12-06,60,10
2015-12-13,64,5
2015-12-20,40,8
2015-12-27,51,9
