Category: All categories

Week,Energy: (Portugal),Natural gas: (Portugal)
2008-01-06,70,5
2008-01-13,69,6
2008-01-20,61,6
2008-01-27,63,5
2008-02-03,54,5
2008-02-10,61,6
2008-02-17,73,6
2008-02-24,73,8
2008-03-02,69,3
2008-03-09,63,6
2008-03-16,52,3
2008-03-23,52,2
2008-03-30,74,8
2008-04-06,66,4
2008-04-13,69,6
2008-04-20,72,5
2008-04-27,67,3
2008-05-04,91,5
2008-05-11,80,7
2008-05-18,88,6
2008-05-25,100,7
2008-06-01,94,7
2008-06-08,75,4
2008-06-15,69,8
2008-06-22,60,3
2008-06-29,53,7
2008-07-06,50,3
2008-07-13,56,3
2008-07-20,34,3
2008-07-27,30,3
2008-08-03,38,2
2008-08-10,28,7
2008-08-17,37,5
2008-08-24,34,3
2008-08-31,36,5
2008-09-07,41,5
2008-09-14,53,6
2008-09-21,59,3
2008-09-28,60,0
2008-10-05,66,3
2008-10-12,57,8
2008-10-19,55,3
2008-10-26,59,7
2008-11-02,54,12
2008-11-09,63,3
2008-11-16,73,6
2008-11-23,61,5
2008-11-30,57,5
2008-12-07,54,6
2008-12-14,61,4
2008-12-21,40,4
2008-12-28,47,3
