Category: All categories

Week,Footwear: (Portugal)
2012-01-01,0
2012-01-08,16
2012-01-15,27
2012-01-22,18
2012-01-29,36
2012-02-05,45
2012-02-12,16
2012-02-19,26
2012-02-26,0
2012-03-04,77
2012-03-11,41
2012-03-18,34
2012-03-25,94
2012-04-01,55
2012-04-08,21
2012-04-15,0
2012-04-22,34
2012-04-29,28
2012-05-06,0
2012-05-13,0
2012-05-20,31
2012-05-27,0
2012-06-03,61
2012-06-10,0
2012-06-17,18
2012-06-24,0
2012-07-01,25
2012-07-08,0
2012-07-15,28
2012-07-22,34
2012-07-29,29
2012-08-05,0
2012-08-12,0
2012-08-19,0
2012-08-26,30
2012-09-02,15
2012-09-09,53
2012-09-16,0
2012-09-23,36
2012-09-30,19
2012-10-07,19
2012-10-14,38
2012-10-21,0
2012-10-28,0
2012-11-04,0
2012-11-11,34
2012-11-18,18
2012-11-25,38
2012-12-02,0
2012-12-09,16
2012-12-16,100
2012-12-23,18
2012-12-30,47
