Category: All categories

Week,Used car: (Portugal)
2010-01-03,83
2010-01-10,82
2010-01-17,88
2010-01-24,93
2010-01-31,100
2010-02-07,74
2010-02-14,89
2010-02-21,90
2010-02-28,66
2010-03-07,75
2010-03-14,79
2010-03-21,74
2010-03-28,83
2010-04-04,81
2010-04-11,80
2010-04-18,74
2010-04-25,77
2010-05-02,72
2010-05-09,77
2010-05-16,75
2010-05-23,82
2010-05-30,74
2010-06-06,70
2010-06-13,66
2010-06-20,73
2010-06-27,79
2010-07-04,62
2010-07-11,65
2010-07-18,70
2010-07-25,67
2010-08-01,70
2010-08-08,77
2010-08-15,73
2010-08-22,83
2010-08-29,74
2010-09-05,72
2010-09-12,87
2010-09-19,75
2010-09-26,70
2010-10-03,79
2010-10-10,62
2010-10-17,67
2010-10-24,55
2010-10-31,61
2010-11-07,63
2010-11-14,60
2010-11-21,64
2010-11-28,58
2010-12-05,66
2010-12-12,50
2010-12-19,46
2010-12-26,65
2011-01-02,80
2011-01-09,70
2011-01-16,67
2011-01-23,65
2011-01-30,69
2011-02-06,66
2011-02-13,74
2011-02-20,70
2011-02-27,73
2011-03-06,64
2011-03-13,64
2011-03-20,66
2011-03-27,58
2011-04-03,58
2011-04-10,55
2011-04-17,67
2011-04-24,60
2011-05-01,63
2011-05-08,50
2011-05-15,55
2011-05-22,53
2011-05-29,48
2011-06-05,59
2011-06-12,54
2011-06-19,66
2011-06-26,57
2011-07-03,56
2011-07-10,54
2011-07-17,57
2011-07-24,58
2011-07-31,59
2011-08-07,53
2011-08-14,63
2011-08-21,76
2011-08-28,69
2011-09-04,61
2011-09-11,67
2011-09-18,68
2011-09-25,62
2011-10-02,65
2011-10-09,62
2011-10-16,57
2011-10-23,54
2011-10-30,63
2011-11-06,60
2011-11-13,54
2011-11-20,61
2011-11-27,51
2011-12-04,54
2011-12-11,49
2011-12-18,45
2011-12-25,53
