Category: All categories

Week,Energy: (Portugal),Interior design: (Portugal)
2018-01-07,78,93
2018-01-14,80,98
2018-01-21,81,100
2018-01-28,74,100
2018-02-04,71,88
2018-02-11,69,85
2018-02-18,78,97
2018-02-25,77,92
2018-03-04,76,100
2018-03-11,88,100
2018-03-18,82,95
2018-03-25,79,91
2018-04-01,79,87
2018-04-08,77,85
2018-04-15,85,93
2018-04-22,85,80
2018-04-29,80,94
2018-05-06,75,78
2018-05-13,78,78
2018-05-20,88,79
2018-05-27,75,80
2018-06-03,94,81
2018-06-10,79,83
2018-06-17,63,62
2018-06-24,55,70
2018-07-01,54,76
2018-07-08,51,74
2018-07-15,55,81
2018-07-22,55,84
2018-07-29,53,67
2018-08-05,47,75
2018-08-12,48,81
2018-08-19,53,88
2018-08-26,52,84
2018-09-02,57,84
2018-09-09,53,87
2018-09-16,55,92
2018-09-23,75,88
2018-09-30,65,92
2018-10-07,85,93
2018-10-14,70,87
2018-10-21,72,90
2018-10-28,66,81
2018-11-04,70,86
2018-11-11,73,86
2018-11-18,72,89
2018-11-25,80,88
2018-12-02,76,85
2018-12-09,66,70
2018-12-16,57,61
2018-12-23,47,63
2018-12-30,61,70
