Category: All categories

Week,Mobile phone: (Portugal)
2015-01-04,79
2015-01-11,78
2015-01-18,71
2015-01-25,75
2015-02-01,72
2015-02-08,68
2015-02-15,78
2015-02-22,75
2015-03-01,68
2015-03-08,70
2015-03-15,70
2015-03-22,74
2015-03-29,77
2015-04-05,69
2015-04-12,79
2015-04-19,79
2015-04-26,76
2015-05-03,76
2015-05-10,70
2015-05-17,73
2015-05-24,70
2015-05-31,70
2015-06-07,70
2015-06-14,69
2015-06-21,67
2015-06-28,77
2015-07-05,77
2015-07-12,76
2015-07-19,80
2015-07-26,86
2015-08-02,80
2015-08-09,84
2015-08-16,84
2015-08-23,82
2015-08-30,81
2015-09-06,81
2015-09-13,79
2015-09-20,80
2015-09-27,78
2015-10-04,76
2015-10-11,72
2015-10-18,72
2015-10-25,73
2015-11-01,70
2015-11-08,67
2015-11-15,79
2015-11-22,79
2015-11-29,82
2015-12-06,83
2015-12-13,83
2015-12-20,100
2015-12-27,87
