Category: All categories

Week,Fur: (Portugal)
2008-01-06,23
2008-01-13,0
2008-01-20,63
2008-01-27,87
2008-02-03,28
2008-02-10,29
2008-02-17,24
2008-02-24,41
2008-03-02,0
2008-03-09,61
2008-03-16,32
2008-03-23,61
2008-03-30,88
2008-04-06,42
2008-04-13,37
2008-04-20,36
2008-04-27,0
2008-05-04,22
2008-05-11,21
2008-05-18,27
2008-05-25,0
2008-06-01,0
2008-06-08,0
2008-06-15,30
2008-06-22,23
2008-06-29,0
2008-07-06,21
2008-07-13,0
2008-07-20,0
2008-07-27,52
2008-08-03,0
2008-08-10,49
2008-08-17,100
2008-08-24,44
2008-08-31,59
2008-09-07,27
2008-09-14,0
2008-09-21,0
2008-09-28,51
2008-10-05,0
2008-10-12,0
2008-10-19,22
2008-10-26,41
2008-11-02,0
2008-11-09,30
2008-11-16,43
2008-11-23,45
2008-11-30,32
2008-12-07,26
2008-12-14,90
2008-12-21,80
2008-12-28,55
2009-01-04,70
2009-01-11,41
2009-01-18,0
2009-01-25,53
2009-02-01,0
2009-02-08,60
2009-02-15,21
2009-02-22,0
2009-03-01,47
2009-03-08,33
2009-03-15,23
2009-03-22,29
2009-03-29,0
2009-04-05,53
2009-04-12,0
2009-04-19,53
2009-04-26,0
2009-05-03,67
2009-05-10,20
2009-05-17,45
2009-05-24,36
2009-05-31,29
2009-06-07,0
2009-06-14,52
2009-06-21,22
2009-06-28,29
2009-07-05,0
2009-07-12,0
2009-07-19,66
2009-07-26,33
2009-08-02,0
2009-08-09,0
2009-08-16,44
2009-08-23,60
2009-08-30,30
2009-09-06,46
2009-09-13,34
2009-09-20,0
2009-09-27,31
2009-10-04,46
2009-10-11,0
2009-10-18,37
2009-10-25,44
2009-11-01,44
2009-11-08,0
2009-11-15,79
2009-11-22,0
2009-11-29,41
2009-12-06,30
2009-12-13,51
2009-12-20,0
2009-12-27,89
