Category: All categories

Week,Renovation: (Portugal)
2016-01-03,79
2016-01-10,68
2016-01-17,62
2016-01-24,94
2016-01-31,68
2016-02-07,83
2016-02-14,74
2016-02-21,54
2016-02-28,80
2016-03-06,46
2016-03-13,0
2016-03-20,60
2016-03-27,65
2016-04-03,67
2016-04-10,78
2016-04-17,48
2016-04-24,74
2016-05-01,38
2016-05-08,96
2016-05-15,70
2016-05-22,68
2016-05-29,28
2016-06-05,68
2016-06-12,43
2016-06-19,34
2016-06-26,60
2016-07-03,77
2016-07-10,43
2016-07-17,24
2016-07-24,40
2016-07-31,34
2016-08-07,22
2016-08-14,100
2016-08-21,59
2016-08-28,24
2016-09-04,37
2016-09-11,64
2016-09-18,0
2016-09-25,25
2016-10-02,56
2016-10-09,49
2016-10-16,23
2016-10-23,29
2016-10-30,35
2016-11-06,37
2016-11-13,35
2016-11-20,45
2016-11-27,35
2016-12-04,73
2016-12-11,73
2016-12-18,62
2016-12-25,44
