Category: All categories

Week,Shoes: (Portugal)
2006-01-01,72
2006-01-08,57
2006-01-15,70
2006-01-22,67
2006-01-29,58
2006-02-05,100
2006-02-12,82
2006-02-19,64
2006-02-26,83
2006-03-05,74
2006-03-12,65
2006-03-19,66
2006-03-26,71
2006-04-02,100
2006-04-09,72
2006-04-16,60
2006-04-23,70
2006-04-30,79
2006-05-07,81
2006-05-14,64
2006-05-21,72
2006-05-28,74
2006-06-04,52
2006-06-11,59
2006-06-18,54
2006-06-25,54
2006-07-02,88
2006-07-09,54
2006-07-16,71
2006-07-23,72
2006-07-30,64
2006-08-06,63
2006-08-13,61
2006-08-20,57
2006-08-27,72
2006-09-03,62
2006-09-10,55
2006-09-17,54
2006-09-24,76
2006-10-01,83
2006-10-08,68
2006-10-15,84
2006-10-22,78
2006-10-29,52
2006-11-05,84
2006-11-12,76
2006-11-19,72
2006-11-26,42
2006-12-03,61
2006-12-10,76
2006-12-17,66
2006-12-24,46
2006-12-31,67
2007-01-07,61
2007-01-14,73
2007-01-21,75
2007-01-28,72
2007-02-04,48
2007-02-11,51
2007-02-18,51
2007-02-25,54
2007-03-04,41
2007-03-11,62
2007-03-18,68
2007-03-25,64
2007-04-01,71
2007-04-08,54
2007-04-15,85
2007-04-22,57
2007-04-29,87
2007-05-06,70
2007-05-13,75
2007-05-20,65
2007-05-27,79
2007-06-03,71
2007-06-10,57
2007-06-17,57
2007-06-24,72
2007-07-01,51
2007-07-08,63
2007-07-15,56
2007-07-22,65
2007-07-29,72
2007-08-05,57
2007-08-12,65
2007-08-19,47
2007-08-26,73
2007-09-02,72
2007-09-09,68
2007-09-16,71
2007-09-23,89
2007-09-30,58
2007-10-07,88
2007-10-14,78
2007-10-21,76
2007-10-28,74
2007-11-04,61
2007-11-11,72
2007-11-18,65
2007-11-25,63
2007-12-02,61
2007-12-09,66
2007-12-16,60
2007-12-23,61
2007-12-30,55
