Category: All categories

Week,Used car: (Portugal)
2009-01-04,72
2009-01-11,67
2009-01-18,95
2009-01-25,70
2009-02-01,80
2009-02-08,77
2009-02-15,86
2009-02-22,91
2009-03-01,83
2009-03-08,80
2009-03-15,85
2009-03-22,93
2009-03-29,71
2009-04-05,83
2009-04-12,82
2009-04-19,82
2009-04-26,78
2009-05-03,67
2009-05-10,80
2009-05-17,67
2009-05-24,71
2009-05-31,67
2009-06-07,83
2009-06-14,75
2009-06-21,75
2009-06-28,77
2009-07-05,86
2009-07-12,82
2009-07-19,85
2009-07-26,91
2009-08-02,97
2009-08-09,83
2009-08-16,96
2009-08-23,87
2009-08-30,93
2009-09-06,88
2009-09-13,95
2009-09-20,87
2009-09-27,88
2009-10-04,95
2009-10-11,82
2009-10-18,100
2009-10-25,78
2009-11-01,79
2009-11-08,79
2009-11-15,77
2009-11-22,85
2009-11-29,86
2009-12-06,71
2009-12-13,69
2009-12-20,88
2009-12-27,86
