Category: All categories

Week,Mercedes-Benz: (Portugal)
2015-01-04,97
2015-01-11,90
2015-01-18,82
2015-01-25,82
2015-02-01,79
2015-02-08,79
2015-02-15,74
2015-02-22,78
2015-03-01,81
2015-03-08,74
2015-03-15,89
2015-03-22,82
2015-03-29,82
2015-04-05,82
2015-04-12,74
2015-04-19,75
2015-04-26,75
2015-05-03,73
2015-05-10,69
2015-05-17,68
2015-05-24,74
2015-05-31,75
2015-06-07,78
2015-06-14,80
2015-06-21,76
2015-06-28,73
2015-07-05,77
2015-07-12,77
2015-07-19,82
2015-07-26,83
2015-08-02,86
2015-08-09,89
2015-08-16,89
2015-08-23,80
2015-08-30,90
2015-09-06,90
2015-09-13,88
2015-09-20,89
2015-09-27,89
2015-10-04,81
2015-10-11,85
2015-10-18,84
2015-10-25,84
2015-11-01,85
2015-11-08,82
2015-11-15,91
2015-11-22,87
2015-11-29,90
2015-12-06,89
2015-12-13,80
2015-12-20,94
2015-12-27,100
