Category: All categories

Week,Automotive industry: (Portugal)
2016-01-03,59
2016-01-10,0
2016-01-17,0
2016-01-24,57
2016-01-31,43
2016-02-07,53
2016-02-14,52
2016-02-21,36
2016-02-28,0
2016-03-06,21
2016-03-13,50
2016-03-20,12
2016-03-27,0
2016-04-03,64
2016-04-10,34
2016-04-17,0
2016-04-24,61
2016-05-01,36
2016-05-08,15
2016-05-15,0
2016-05-22,30
2016-05-29,16
2016-06-05,42
2016-06-12,0
2016-06-19,0
2016-06-26,16
2016-07-03,0
2016-07-10,0
2016-07-17,27
2016-07-24,0
2016-07-31,25
2016-08-07,0
2016-08-14,54
2016-08-21,30
2016-08-28,27
2016-09-04,46
2016-09-11,32
2016-09-18,33
2016-09-25,48
2016-10-02,45
2016-10-09,44
2016-10-16,78
2016-10-23,68
2016-10-30,27
2016-11-06,44
2016-11-13,65
2016-11-20,48
2016-11-27,32
2016-12-04,30
2016-12-11,100
2016-12-18,16
2016-12-25,66
