Category: All categories

Week,Lumber: (Portugal)
2013-01-06,17
2013-01-13,0
2013-01-20,28
2013-01-27,0
2013-02-03,43
2013-02-10,0
2013-02-17,29
2013-02-24,16
2013-03-03,0
2013-03-10,21
2013-03-17,42
2013-03-24,0
2013-03-31,54
2013-04-07,0
2013-04-14,23
2013-04-21,27
2013-04-28,33
2013-05-05,40
2013-05-12,25
2013-05-19,0
2013-05-26,29
2013-06-02,25
2013-06-09,26
2013-06-16,26
2013-06-23,31
2013-06-30,24
2013-07-07,35
2013-07-14,49
2013-07-21,26
2013-07-28,31
2013-08-04,0
2013-08-11,59
2013-08-18,42
2013-08-25,68
2013-09-01,24
2013-09-08,24
2013-09-15,33
2013-09-22,37
2013-09-29,15
2013-10-06,15
2013-10-13,13
2013-10-20,12
2013-10-27,27
2013-11-03,26
2013-11-10,100
2013-11-17,29
2013-11-24,0
2013-12-01,28
2013-12-08,28
2013-12-15,42
2013-12-22,43
2013-12-29,74
