Category: All categories

Week,Beer: (Portugal)
2013-01-06,51
2013-01-13,53
2013-01-20,59
2013-01-27,55
2013-02-03,58
2013-02-10,66
2013-02-17,56
2013-02-24,58
2013-03-03,62
2013-03-10,68
2013-03-17,69
2013-03-24,73
2013-03-31,73
2013-04-07,63
2013-04-14,90
2013-04-21,72
2013-04-28,70
2013-05-05,68
2013-05-12,79
2013-05-19,78
2013-05-26,78
2013-06-02,72
2013-06-09,75
2013-06-16,74
2013-06-23,86
2013-06-30,77
2013-07-07,77
2013-07-14,100
2013-07-21,96
2013-07-28,90
2013-08-04,88
2013-08-11,97
2013-08-18,82
2013-08-25,89
2013-09-01,97
2013-09-08,91
2013-09-15,70
2013-09-22,70
2013-09-29,61
2013-10-06,70
2013-10-13,65
2013-10-20,77
2013-10-27,57
2013-11-03,76
2013-11-10,68
2013-11-17,77
2013-11-24,81
2013-12-01,65
2013-12-08,71
2013-12-15,74
2013-12-22,76
2013-12-29,77
