Category: All categories

Week,Dessert: (Portugal)
2013-01-06,42
2013-01-13,52
2013-01-20,68
2013-01-27,64
2013-02-03,63
2013-02-10,91
2013-02-17,63
2013-02-24,54
2013-03-03,56
2013-03-10,76
2013-03-17,74
2013-03-24,97
2013-03-31,49
2013-04-07,62
2013-04-14,58
2013-04-21,68
2013-04-28,69
2013-05-05,68
2013-05-12,65
2013-05-19,64
2013-05-26,59
2013-06-02,61
2013-06-09,58
2013-06-16,60
2013-06-23,66
2013-06-30,75
2013-07-07,68
2013-07-14,73
2013-07-21,57
2013-07-28,66
2013-08-04,62
2013-08-11,70
2013-08-18,68
2013-08-25,69
2013-09-01,55
2013-09-08,55
2013-09-15,48
2013-09-22,59
2013-09-29,56
2013-10-06,46
2013-10-13,59
2013-10-20,56
2013-10-27,59
2013-11-03,55
2013-11-10,61
2013-11-17,64
2013-11-24,52
2013-12-01,53
2013-12-08,67
2013-12-15,86
2013-12-22,100
2013-12-29,82
