Category: All categories

Week,Dessert: (Portugal)
2012-01-01,50
2012-01-08,52
2012-01-15,48
2012-01-22,58
2012-01-29,69
2012-02-05,72
2012-02-12,76
2012-02-19,58
2012-02-26,57
2012-03-04,54
2012-03-11,60
2012-03-18,69
2012-03-25,77
2012-04-01,93
2012-04-08,53
2012-04-15,66
2012-04-22,65
2012-04-29,61
2012-05-06,56
2012-05-13,55
2012-05-20,66
2012-05-27,65
2012-06-03,65
2012-06-10,54
2012-06-17,68
2012-06-24,68
2012-07-01,70
2012-07-08,84
2012-07-15,100
2012-07-22,93
2012-07-29,92
2012-08-05,80
2012-08-12,99
2012-08-19,78
2012-08-26,70
2012-09-02,69
2012-09-09,76
2012-09-16,70
2012-09-23,55
2012-09-30,79
2012-10-07,61
2012-10-14,70
2012-10-21,59
2012-10-28,81
2012-11-04,67
2012-11-11,78
2012-11-18,61
2012-11-25,68
2012-12-02,66
2012-12-09,61
2012-12-16,87
2012-12-23,100
2012-12-30,85
