Category: All categories

Week,Energy: (Portugal),Real Estate: (Portugal)
2008-01-06,48,96
2008-01-13,45,100
2008-01-20,42,100
2008-01-27,43,89
2008-02-03,37,93
2008-02-10,42,100
2008-02-17,50,99
2008-02-24,50,95
2008-03-02,49,90
2008-03-09,41,88
2008-03-16,36,87
2008-03-23,32,98
2008-03-30,51,80
2008-04-06,46,89
2008-04-13,46,84
2008-04-20,56,77
2008-04-27,45,76
2008-05-04,61,81
2008-05-11,56,74
2008-05-18,62,78
2008-05-25,68,74
2008-06-01,65,74
2008-06-08,52,73
2008-06-15,47,69
2008-06-22,38,74
2008-06-29,34,77
2008-07-06,35,71
2008-07-13,41,81
2008-07-20,24,76
2008-07-27,21,68
2008-08-03,23,78
2008-08-10,19,81
2008-08-17,26,95
2008-08-24,22,81
2008-08-31,25,81
2008-09-07,27,85
2008-09-14,35,78
2008-09-21,40,78
2008-09-28,42,78
2008-10-05,45,74
2008-10-12,41,82
2008-10-19,40,84
2008-10-26,40,68
2008-11-02,36,63
2008-11-09,44,73
2008-11-16,49,66
2008-11-23,42,59
2008-11-30,39,56
2008-12-07,37,59
2008-12-14,43,55
2008-12-21,27,60
2008-12-28,35,65
