Category: All categories

Week,Energy: (Portugal),Travel agency: (Portugal)
2016-01-03,95,17
2016-01-10,82,17
2016-01-17,88,19
2016-01-24,83,18
2016-01-31,79,14
2016-02-07,67,19
2016-02-14,81,13
2016-02-21,86,18
2016-02-28,92,17
2016-03-06,85,15
2016-03-13,79,16
2016-03-20,66,15
2016-03-27,69,18
2016-04-03,80,14
2016-04-10,89,17
2016-04-17,87,18
2016-04-24,88,16
2016-05-01,91,18
2016-05-08,97,14
2016-05-15,100,18
2016-05-22,95,15
2016-05-29,98,19
2016-06-05,77,17
2016-06-12,83,18
2016-06-19,57,20
2016-06-26,62,13
2016-07-03,59,20
2016-07-10,56,15
2016-07-17,60,18
2016-07-24,60,22
2016-07-31,50,13
2016-08-07,45,18
2016-08-14,45,16
2016-08-21,54,18
2016-08-28,64,12
2016-09-04,59,15
2016-09-11,60,11
2016-09-18,70,10
2016-09-25,75,14
2016-10-02,75,11
2016-10-09,74,16
2016-10-16,73,13
2016-10-23,77,11
2016-10-30,71,4
2016-11-06,88,9
2016-11-13,83,10
2016-11-20,79,8
2016-11-27,77,9
2016-12-04,69,10
2016-12-11,63,12
2016-12-18,51,7
2016-12-25,58,9
