Category: All categories

Week,Energy: (Portugal),Renovation: (Portugal)
2007-01-07,73,2
2007-01-14,74,3
2007-01-21,71,4
2007-01-28,74,0
2007-02-04,63,5
2007-02-11,60,2
2007-02-18,56,0
2007-02-25,63,0
2007-03-04,78,0
2007-03-11,60,4
2007-03-18,76,3
2007-03-25,55,2
2007-04-01,52,3
2007-04-08,84,0
2007-04-15,79,0
2007-04-22,81,0
2007-04-29,66,4
2007-05-06,100,3
2007-05-13,97,0
2007-05-20,95,0
2007-05-27,99,3
2007-06-03,91,5
2007-06-10,79,3
2007-06-17,50,3
2007-06-24,52,4
2007-07-01,44,0
2007-07-08,48,0
2007-07-15,38,3
2007-07-22,46,2
2007-07-29,39,6
2007-08-05,36,3
2007-08-12,38,5
2007-08-19,50,0
2007-08-26,43,0
2007-09-02,49,0
2007-09-09,42,0
2007-09-16,54,0
2007-09-23,67,3
2007-09-30,62,3
2007-10-07,72,2
2007-10-14,82,3
2007-10-21,72,3
2007-10-28,73,0
2007-11-04,84,0
2007-11-11,85,1
2007-11-18,79,2
2007-11-25,84,0
2007-12-02,84,2
2007-12-09,78,5
2007-12-16,47,0
2007-12-23,45,0
2007-12-30,49,2
