Category: All categories

Week,Television: (Portugal)
2013-01-06,64
2013-01-13,100
2013-01-20,49
2013-01-27,47
2013-02-03,35
2013-02-10,41
2013-02-17,40
2013-02-24,43
2013-03-03,39
2013-03-10,41
2013-03-17,36
2013-03-24,39
2013-03-31,36
2013-04-07,37
2013-04-14,35
2013-04-21,46
2013-04-28,39
2013-05-05,41
2013-05-12,33
2013-05-19,35
2013-05-26,27
2013-06-02,26
2013-06-09,29
2013-06-16,28
2013-06-23,27
2013-06-30,28
2013-07-07,34
2013-07-14,38
2013-07-21,42
2013-07-28,42
2013-08-04,39
2013-08-11,35
2013-08-18,47
2013-08-25,51
2013-09-01,33
2013-09-08,39
2013-09-15,41
2013-09-22,50
2013-09-29,41
2013-10-06,35
2013-10-13,33
2013-10-20,47
2013-10-27,48
2013-11-03,44
2013-11-10,34
2013-11-17,40
2013-11-24,39
2013-12-01,41
2013-12-08,38
2013-12-15,38
2013-12-22,38
2013-12-29,39
