Category: All categories

Week,Energy: (Portugal),Furniture: (Portugal)
2013-01-06,85,47
2013-01-13,81,55
2013-01-20,88,57
2013-01-27,79,62
2013-02-03,76,53
2013-02-10,62,52
2013-02-17,78,61
2013-02-24,84,53
2013-03-03,88,60
2013-03-10,73,54
2013-03-17,60,56
2013-03-24,70,58
2013-03-31,75,57
2013-04-07,88,57
2013-04-14,82,54
2013-04-21,76,52
2013-04-28,83,59
2013-05-05,79,52
2013-05-12,89,59
2013-05-19,97,56
2013-05-26,99,51
2013-06-02,81,52
2013-06-09,63,54
2013-06-16,64,45
2013-06-23,55,48
2013-06-30,47,43
2013-07-07,49,46
2013-07-14,55,47
2013-07-21,48,60
2013-07-28,41,55
2013-08-04,40,53
2013-08-11,34,53
2013-08-18,43,65
2013-08-25,43,57
2013-09-01,46,52
2013-09-08,52,62
2013-09-15,54,62
2013-09-22,59,61
2013-09-29,65,56
2013-10-06,65,60
2013-10-13,65,61
2013-10-20,68,60
2013-10-27,71,58
2013-11-03,75,57
2013-11-10,72,62
2013-11-17,75,57
2013-11-24,88,58
2013-12-01,100,51
2013-12-08,88,51
2013-12-15,67,47
2013-12-22,56,49
2013-12-29,65,52
