Category: All categories

Week,Energy: (Portugal),Mobile phone: (Portugal)
2017-01-01,16,96
2017-01-08,22,83
2017-01-15,24,79
2017-01-22,21,82
2017-01-29,21,81
2017-02-05,20,81
2017-02-12,20,72
2017-02-19,20,79
2017-02-26,20,79
2017-03-05,23,77
2017-03-12,23,74
2017-03-19,21,73
2017-03-26,23,74
2017-04-02,18,69
2017-04-09,18,70
2017-04-16,18,73
2017-04-23,20,72
2017-04-30,22,68
2017-05-07,23,71
2017-05-14,23,73
2017-05-21,23,71
2017-05-28,27,74
2017-06-04,23,72
2017-06-11,20,74
2017-06-18,15,71
2017-06-25,15,85
2017-07-02,17,83
2017-07-09,14,74
2017-07-16,16,81
2017-07-23,13,85
2017-07-30,14,87
2017-08-06,13,85
2017-08-13,13,93
2017-08-20,13,93
2017-08-27,14,86
2017-09-03,14,85
2017-09-10,14,86
2017-09-17,16,78
2017-09-24,17,79
2017-10-01,16,81
2017-10-08,18,73
2017-10-15,19,72
2017-10-22,18,77
2017-10-29,17,82
2017-11-05,18,86
2017-11-12,23,80
2017-11-19,18,85
2017-11-26,19,80
2017-12-03,17,90
2017-12-10,20,92
2017-12-17,15,89
2017-12-24,17,100
2017-12-31,20,85
