Category: All categories

Week,Potato: (Portugal)
2011-01-02,54
2011-01-09,66
2011-01-16,67
2011-01-23,72
2011-01-30,71
2011-02-06,53
2011-02-13,60
2011-02-20,62
2011-02-27,69
2011-03-06,66
2011-03-13,53
2011-03-20,60
2011-03-27,57
2011-04-03,56
2011-04-10,49
2011-04-17,59
2011-04-24,59
2011-05-01,52
2011-05-08,60
2011-05-15,60
2011-05-22,46
2011-05-29,40
2011-06-05,45
2011-06-12,46
2011-06-19,48
2011-06-26,40
2011-07-03,52
2011-07-10,49
2011-07-17,65
2011-07-24,66
2011-07-31,60
2011-08-07,63
2011-08-14,54
2011-08-21,66
2011-08-28,71
2011-09-04,71
2011-09-11,56
2011-09-18,63
2011-09-25,75
2011-10-02,56
2011-10-09,88
2011-10-16,77
2011-10-23,86
2011-10-30,98
2011-11-06,91
2011-11-13,86
2011-11-20,61
2011-11-27,100
2011-12-04,69
2011-12-11,82
2011-12-18,90
2011-12-25,98
