Category: All categories

Week,Furniture: (Portugal)
2012-01-01,80
2012-01-08,86
2012-01-15,75
2012-01-22,81
2012-01-29,80
2012-02-05,73
2012-02-12,70
2012-02-19,100
2012-02-26,77
2012-03-04,78
2012-03-11,78
2012-03-18,80
2012-03-25,71
2012-04-01,64
2012-04-08,77
2012-04-15,82
2012-04-22,76
2012-04-29,73
2012-05-06,81
2012-05-13,66
2012-05-20,75
2012-05-27,75
2012-06-03,65
2012-06-10,72
2012-06-17,70
2012-06-24,66
2012-07-01,81
2012-07-08,66
2012-07-15,81
2012-07-22,69
2012-07-29,75
2012-08-05,79
2012-08-12,80
2012-08-19,91
2012-08-26,91
2012-09-02,83
2012-09-09,88
2012-09-16,83
2012-09-23,78
2012-09-30,82
2012-10-07,73
2012-10-14,75
2012-10-21,80
2012-10-28,79
2012-11-04,82
2012-11-11,77
2012-11-18,72
2012-11-25,74
2012-12-02,59
2012-12-09,54
2012-12-16,53
2012-12-23,50
2012-12-30,70
