Category: All categories

Week,Tobacco: (Portugal)
2017-01-01,0
2017-01-08,0
2017-01-15,0
2017-01-22,0
2017-01-29,22
2017-02-05,0
2017-02-12,22
2017-02-19,98
2017-02-26,60
2017-03-05,0
2017-03-12,0
2017-03-19,0
2017-03-26,95
2017-04-02,0
2017-04-09,0
2017-04-16,0
2017-04-23,0
2017-04-30,58
2017-05-07,38
2017-05-14,0
2017-05-21,0
2017-05-28,40
2017-06-04,60
2017-06-11,45
2017-06-18,0
2017-06-25,90
2017-07-02,0
2017-07-09,0
2017-07-16,28
2017-07-23,0
2017-07-30,61
2017-08-06,64
2017-08-13,100
2017-08-20,46
2017-08-27,72
2017-09-03,65
2017-09-10,41
2017-09-17,0
2017-09-24,0
2017-10-01,28
2017-10-08,23
2017-10-15,31
2017-10-22,42
2017-10-29,0
2017-11-05,0
2017-11-12,56
2017-11-19,26
2017-11-26,69
2017-12-03,31
2017-12-10,0
2017-12-17,0
2017-12-24,58
2017-12-31,63
