Category: All categories

Week,Margarine: (Portugal)
2017-01-01,29
2017-01-08,0
2017-01-15,21
2017-01-22,31
2017-01-29,28
2017-02-05,24
2017-02-12,29
2017-02-19,60
2017-02-26,31
2017-03-05,31
2017-03-12,0
2017-03-19,58
2017-03-26,63
2017-04-02,52
2017-04-09,45
2017-04-16,27
2017-04-23,50
2017-04-30,0
2017-05-07,78
2017-05-14,21
2017-05-21,0
2017-05-28,0
2017-06-04,0
2017-06-11,21
2017-06-18,58
2017-06-25,0
2017-07-02,0
2017-07-09,34
2017-07-16,22
2017-07-23,0
2017-07-30,0
2017-08-06,0
2017-08-13,48
2017-08-20,0
2017-08-27,0
2017-09-03,0
2017-09-10,32
2017-09-17,32
2017-09-24,34
2017-10-01,21
2017-10-08,24
2017-10-15,22
2017-10-22,29
2017-10-29,26
2017-11-05,66
2017-11-12,25
2017-11-19,0
2017-11-26,20
2017-12-03,25
2017-12-10,0
2017-12-17,74
2017-12-24,32
2017-12-31,0
2018-01-07,77
2018-01-14,26
2018-01-21,15
2018-01-28,36
2018-02-04,36
2018-02-11,37
2018-02-18,14
2018-02-25,57
2018-03-04,0
2018-03-11,20
2018-03-18,36
2018-03-25,0
2018-04-01,38
2018-04-08,34
2018-04-15,15
2018-04-22,15
2018-04-29,36
2018-05-06,30
2018-05-13,33
2018-05-20,28
2018-05-27,19
2018-06-03,48
2018-06-10,46
2018-06-17,21
2018-06-24,24
2018-07-01,32
2018-07-08,46
2018-07-15,0
2018-07-22,0
2018-07-29,28
2018-08-05,16
2018-08-12,14
2018-08-19,52
2018-08-26,13
2018-09-02,26
2018-09-09,21
2018-09-16,36
2018-09-23,65
2018-09-30,23
2018-10-07,25
2018-10-14,17
2018-10-21,0
2018-10-28,57
2018-11-04,38
2018-11-11,15
2018-11-18,37
2018-11-25,41
2018-12-02,100
2018-12-09,41
2018-12-16,77
2018-12-23,0
2018-12-30,70
