Category: All categories

Week,Real Estate: (Portugal)
2007-01-07,83
2007-01-14,93
2007-01-21,86
2007-01-28,79
2007-02-04,88
2007-02-11,84
2007-02-18,88
2007-02-25,76
2007-03-04,69
2007-03-11,75
2007-03-18,78
2007-03-25,73
2007-04-01,74
2007-04-08,78
2007-04-15,80
2007-04-22,79
2007-04-29,90
2007-05-06,86
2007-05-13,78
2007-05-20,95
2007-05-27,76
2007-06-03,75
2007-06-10,91
2007-06-17,84
2007-06-24,83
2007-07-01,80
2007-07-08,71
2007-07-15,85
2007-07-22,82
2007-07-29,82
2007-08-05,86
2007-08-12,93
2007-08-19,100
2007-08-26,82
2007-09-02,89
2007-09-09,89
2007-09-16,81
2007-09-23,75
2007-09-30,80
2007-10-07,89
2007-10-14,89
2007-10-21,87
2007-10-28,71
2007-11-04,81
2007-11-11,65
2007-11-18,70
2007-11-25,69
2007-12-02,58
2007-12-09,56
2007-12-16,49
2007-12-23,67
2007-12-30,81
