Category: All categories

Week,Energy: (Portugal),Margarine: (Portugal)
2013-01-06,85,2
2013-01-13,81,2
2013-01-20,88,2
2013-01-27,79,1
2013-02-03,76,2
2013-02-10,62,1
2013-02-17,78,0
2013-02-24,84,2
2013-03-03,88,1
2013-03-10,73,0
2013-03-17,60,3
2013-03-24,70,3
2013-03-31,75,3
2013-04-07,88,0
2013-04-14,82,0
2013-04-21,76,3
2013-04-28,83,3
2013-05-05,79,1
2013-05-12,89,0
2013-05-19,97,1
2013-05-26,99,1
2013-06-02,81,2
2013-06-09,63,3
2013-06-16,64,0
2013-06-23,55,0
2013-06-30,47,1
2013-07-07,49,2
2013-07-14,55,3
2013-07-21,48,2
2013-07-28,41,0
2013-08-04,40,0
2013-08-11,34,1
2013-08-18,43,2
2013-08-25,43,2
2013-09-01,46,1
2013-09-08,52,0
2013-09-15,54,1
2013-09-22,59,4
2013-09-29,65,2
2013-10-06,65,1
2013-10-13,65,3
2013-10-20,68,1
2013-10-27,71,1
2013-11-03,75,4
2013-11-10,72,0
2013-11-17,75,4
2013-11-24,88,0
2013-12-01,100,2
2013-12-08,88,2
2013-12-15,67,2
2013-12-22,56,1
2013-12-29,65,1
