Category: All categories

Week,Energy: (Portugal),Furniture: (Portugal)
2017-01-01,43,86
2017-01-08,59,88
2017-01-15,65,91
2017-01-22,57,89
2017-01-29,54,94
2017-02-05,56,87
2017-02-12,54,92
2017-02-19,56,87
2017-02-26,54,100
2017-03-05,60,92
2017-03-12,60,91
2017-03-19,56,94
2017-03-26,62,90
2017-04-02,46,91
2017-04-09,46,82
2017-04-16,46,83
2017-04-23,53,75
2017-04-30,58,83
2017-05-07,61,77
2017-05-14,59,80
2017-05-21,60,74
2017-05-28,69,82
2017-06-04,63,78
2017-06-11,55,75
2017-06-18,40,65
2017-06-25,41,78
2017-07-02,45,85
2017-07-09,40,82
2017-07-16,43,86
2017-07-23,35,76
2017-07-30,37,96
2017-08-06,33,87
2017-08-13,32,84
2017-08-20,36,87
2017-08-27,37,94
2017-09-03,36,79
2017-09-10,38,87
2017-09-17,42,85
2017-09-24,43,93
2017-10-01,42,88
2017-10-08,48,81
2017-10-15,50,84
2017-10-22,47,87
2017-10-29,45,85
2017-11-05,48,85
2017-11-12,60,83
2017-11-19,47,92
2017-11-26,51,83
2017-12-03,49,85
2017-12-10,52,67
2017-12-17,40,66
2017-12-24,47,73
2017-12-31,54,85
