Category: All categories

Week,Used car: (Portugal)
2007-01-07,88
2007-01-14,86
2007-01-21,75
2007-01-28,60
2007-02-04,75
2007-02-11,88
2007-02-18,73
2007-02-25,68
2007-03-04,66
2007-03-11,60
2007-03-18,77
2007-03-25,61
2007-04-01,68
2007-04-08,95
2007-04-15,60
2007-04-22,80
2007-04-29,82
2007-05-06,78
2007-05-13,68
2007-05-20,77
2007-05-27,87
2007-06-03,70
2007-06-10,69
2007-06-17,83
2007-06-24,77
2007-07-01,79
2007-07-08,75
2007-07-15,69
2007-07-22,85
2007-07-29,74
2007-08-05,74
2007-08-12,93
2007-08-19,74
2007-08-26,91
2007-09-02,91
2007-09-09,76
2007-09-16,73
2007-09-23,93
2007-09-30,92
2007-10-07,94
2007-10-14,100
2007-10-21,88
2007-10-28,80
2007-11-04,73
2007-11-11,71
2007-11-18,69
2007-11-25,62
2007-12-02,73
2007-12-09,74
2007-12-16,69
2007-12-23,71
2007-12-30,93
