Category: All categories

Week,Energy: (Portugal),Nightclub: (Portugal)
2016-01-03,95,14
2016-01-10,82,14
2016-01-17,88,12
2016-01-24,83,12
2016-01-31,79,17
2016-02-07,67,17
2016-02-14,81,13
2016-02-21,86,17
2016-02-28,92,15
2016-03-06,85,13
2016-03-13,79,15
2016-03-20,66,16
2016-03-27,69,17
2016-04-03,80,13
2016-04-10,89,16
2016-04-17,87,14
2016-04-24,88,33
2016-05-01,91,19
2016-05-08,97,12
2016-05-15,100,15
2016-05-22,95,17
2016-05-29,98,13
2016-06-05,77,18
2016-06-12,83,16
2016-06-19,57,13
2016-06-26,62,18
2016-07-03,59,19
2016-07-10,56,17
2016-07-17,60,19
2016-07-24,60,25
2016-07-31,50,30
2016-08-07,45,28
2016-08-14,45,25
2016-08-21,54,26
2016-08-28,64,22
2016-09-04,59,19
2016-09-11,60,20
2016-09-18,70,17
2016-09-25,75,21
2016-10-02,75,17
2016-10-09,74,14
2016-10-16,73,14
2016-10-23,77,14
2016-10-30,71,12
2016-11-06,88,16
2016-11-13,83,18
2016-11-20,79,16
2016-11-27,77,18
2016-12-04,69,31
2016-12-11,63,25
2016-12-18,51,19
2016-12-25,58,39
