Category: All categories

Week,Food: (Portugal)
2014-01-05,80
2014-01-12,82
2014-01-19,75
2014-01-26,83
2014-02-02,80
2014-02-09,78
2014-02-16,88
2014-02-23,80
2014-03-02,76
2014-03-09,81
2014-03-16,82
2014-03-23,81
2014-03-30,72
2014-04-06,78
2014-04-13,81
2014-04-20,75
2014-04-27,83
2014-05-04,83
2014-05-11,88
2014-05-18,81
2014-05-25,85
2014-06-01,85
2014-06-08,78
2014-06-15,75
2014-06-22,74
2014-06-29,74
2014-07-06,80
2014-07-13,80
2014-07-20,74
2014-07-27,74
2014-08-03,67
2014-08-10,71
2014-08-17,76
2014-08-24,71
2014-08-31,83
2014-09-07,78
2014-09-14,77
2014-09-21,78
2014-09-28,76
2014-10-05,88
2014-10-12,90
2014-10-19,78
2014-10-26,83
2014-11-02,85
2014-11-09,77
2014-11-16,81
2014-11-23,81
2014-11-30,78
2014-12-07,80
2014-12-14,69
2014-12-21,67
2014-12-28,83
2015-01-04,85
2015-01-11,84
2015-01-18,86
2015-01-25,95
2015-02-01,92
2015-02-08,93
2015-02-15,78
2015-02-22,89
2015-03-01,84
2015-03-08,89
2015-03-15,98
2015-03-22,92
2015-03-29,97
2015-04-05,100
2015-04-12,98
2015-04-19,91
2015-04-26,85
2015-05-03,92
2015-05-10,94
2015-05-17,90
2015-05-24,86
2015-05-31,85
2015-06-07,87
2015-06-14,80
2015-06-21,90
2015-06-28,86
2015-07-05,85
2015-07-12,86
2015-07-19,89
2015-07-26,87
2015-08-02,82
2015-08-09,92
2015-08-16,94
2015-08-23,94
2015-08-30,90
2015-09-06,93
2015-09-13,85
2015-09-20,98
2015-09-27,95
2015-10-04,93
2015-10-11,100
2015-10-18,99
2015-10-25,100
2015-11-01,95
2015-11-08,87
2015-11-15,89
2015-11-22,90
2015-11-29,88
2015-12-06,82
2015-12-13,83
2015-12-20,70
2015-12-27,80
