Category: All categories

Week,Tobacco: (Portugal)
2018-01-07,34
2018-01-14,0
2018-01-21,0
2018-01-28,18
2018-02-04,29
2018-02-11,0
2018-02-18,12
2018-02-25,0
2018-03-04,24
2018-03-11,45
2018-03-18,23
2018-03-25,24
2018-04-01,25
2018-04-08,14
2018-04-15,0
2018-04-22,28
2018-04-29,25
2018-05-06,17
2018-05-13,22
2018-05-20,0
2018-05-27,0
2018-06-03,27
2018-06-10,0
2018-06-17,0
2018-06-24,38
2018-07-01,34
2018-07-08,38
2018-07-15,18
2018-07-22,56
2018-07-29,56
2018-08-05,100
2018-08-12,91
2018-08-19,85
2018-08-26,55
2018-09-02,25
2018-09-09,19
2018-09-16,36
2018-09-23,27
2018-09-30,22
2018-10-07,36
2018-10-14,20
2018-10-21,13
2018-10-28,39
2018-11-04,37
2018-11-11,16
2018-11-18,0
2018-11-25,23
2018-12-02,0
2018-12-09,25
2018-12-16,0
2018-12-23,20
2018-12-30,31
