Category: All categories

Week,Energy: (Portugal),Lawyer: (Portugal)
2007-01-07,70,26
2007-01-14,70,21
2007-01-21,68,31
2007-01-28,71,24
2007-02-04,58,23
2007-02-11,59,23
2007-02-18,43,24
2007-02-25,62,27
2007-03-04,73,25
2007-03-11,66,25
2007-03-18,72,18
2007-03-25,53,23
2007-04-01,54,17
2007-04-08,83,27
2007-04-15,78,35
2007-04-22,79,21
2007-04-29,68,24
2007-05-06,100,28
2007-05-13,98,29
2007-05-20,92,26
2007-05-27,94,30
2007-06-03,93,22
2007-06-10,79,24
2007-06-17,49,25
2007-06-24,50,20
2007-07-01,44,23
2007-07-08,48,29
2007-07-15,40,36
2007-07-22,43,28
2007-07-29,36,22
2007-08-05,38,23
2007-08-12,38,13
2007-08-19,48,18
2007-08-26,36,24
2007-09-02,53,29
2007-09-09,45,26
2007-09-16,49,32
2007-09-23,68,33
2007-09-30,57,21
2007-10-07,70,30
2007-10-14,74,33
2007-10-21,71,23
2007-10-28,73,21
2007-11-04,83,27
2007-11-11,83,27
2007-11-18,78,30
2007-11-25,81,37
2007-12-02,78,26
2007-12-09,79,21
2007-12-16,46,24
2007-12-23,38,18
2007-12-30,53,14
