Category: All categories

Week,Energy: (Portugal),Furniture: (Portugal)
2017-01-01,44,86
2017-01-08,58,90
2017-01-15,65,96
2017-01-22,56,90
2017-01-29,55,96
2017-02-05,55,87
2017-02-12,54,92
2017-02-19,55,88
2017-02-26,55,100
2017-03-05,60,91
2017-03-12,62,92
2017-03-19,57,94
2017-03-26,63,92
2017-04-02,48,95
2017-04-09,47,84
2017-04-16,47,82
2017-04-23,55,75
2017-04-30,58,83
2017-05-07,61,76
2017-05-14,62,81
2017-05-21,61,80
2017-05-28,71,83
2017-06-04,63,77
2017-06-11,53,73
2017-06-18,41,67
2017-06-25,40,79
2017-07-02,46,86
2017-07-09,38,82
2017-07-16,44,87
2017-07-23,34,75
2017-07-30,38,94
2017-08-06,34,86
2017-08-13,34,86
2017-08-20,36,87
2017-08-27,37,95
2017-09-03,38,83
2017-09-10,38,88
2017-09-17,43,89
2017-09-24,45,94
2017-10-01,43,86
2017-10-08,48,81
2017-10-15,52,84
2017-10-22,47,88
2017-10-29,44,85
2017-11-05,49,84
2017-11-12,61,83
2017-11-19,48,93
2017-11-26,51,87
2017-12-03,46,83
2017-12-10,53,66
2017-12-17,41,64
2017-12-24,46,73
2017-12-31,55,85
