Category: All categories

Week,Energy: (Portugal),Nightclub: (Portugal)
2010-01-03,67,14
2010-01-10,73,12
2010-01-17,71,11
2010-01-24,73,15
2010-01-31,74,15
2010-02-07,67,15
2010-02-14,55,15
2010-02-21,71,11
2010-02-28,67,14
2010-03-07,69,12
2010-03-14,67,10
2010-03-21,63,12
2010-03-28,43,19
2010-04-04,57,13
2010-04-11,73,13
2010-04-18,88,13
2010-04-25,72,13
2010-05-02,83,9
2010-05-09,79,11
2010-05-16,97,13
2010-05-23,100,12
2010-05-30,85,16
2010-06-06,69,4
2010-06-13,49,16
2010-06-20,40,11
2010-06-27,47,17
2010-07-04,47,14
2010-07-11,37,14
2010-07-18,33,15
2010-07-25,48,15
2010-08-01,44,14
2010-08-08,37,13
2010-08-15,34,20
2010-08-22,39,18
2010-08-29,30,14
2010-09-05,37,11
2010-09-12,53,12
2010-09-19,54,10
2010-09-26,54,11
2010-10-03,48,9
2010-10-10,60,10
2010-10-17,49,11
2010-10-24,57,12
2010-10-31,62,15
2010-11-07,60,12
2010-11-14,66,9
2010-11-21,60,8
2010-11-28,58,6
2010-12-05,55,9
2010-12-12,51,11
2010-12-19,33,15
2010-12-26,28,21
