Category: All categories

Week,Energy: (Portugal),Restaurant: (Portugal)
2008-01-06,34,57
2008-01-13,33,62
2008-01-20,32,52
2008-01-27,29,56
2008-02-03,27,65
2008-02-10,30,100
2008-02-17,36,55
2008-02-24,36,53
2008-03-02,35,64
2008-03-09,29,57
2008-03-16,25,60
2008-03-23,25,63
2008-03-30,36,57
2008-04-06,33,55
2008-04-13,35,55
2008-04-20,36,61
2008-04-27,33,62
2008-05-04,44,59
2008-05-11,40,59
2008-05-18,44,59
2008-05-25,49,46
2008-06-01,46,53
2008-06-08,39,49
2008-06-15,33,49
2008-06-22,29,58
2008-06-29,26,54
2008-07-06,24,55
2008-07-13,27,62
2008-07-20,16,63
2008-07-27,18,62
2008-08-03,17,71
2008-08-10,14,67
2008-08-17,20,66
2008-08-24,17,69
2008-08-31,18,61
2008-09-07,20,59
2008-09-14,26,64
2008-09-21,30,62
2008-09-28,31,56
2008-10-05,32,56
2008-10-12,29,58
2008-10-19,28,58
2008-10-26,29,57
2008-11-02,26,56
2008-11-09,31,64
2008-11-16,36,66
2008-11-23,30,67
2008-11-30,29,74
2008-12-07,28,79
2008-12-14,31,88
2008-12-21,19,62
2008-12-28,24,86
