Category: All categories

Week,Travel agency: (Portugal)
2018-01-07,91
2018-01-14,84
2018-01-21,100
2018-01-28,64
2018-02-04,79
2018-02-11,85
2018-02-18,98
2018-02-25,77
2018-03-04,88
2018-03-11,73
2018-03-18,77
2018-03-25,55
2018-04-01,77
2018-04-08,79
2018-04-15,76
2018-04-22,76
2018-04-29,68
2018-05-06,61
2018-05-13,61
2018-05-20,47
2018-05-27,71
2018-06-03,85
2018-06-10,69
2018-06-17,68
2018-06-24,61
2018-07-01,76
2018-07-08,57
2018-07-15,88
2018-07-22,68
2018-07-29,54
2018-08-05,69
2018-08-12,60
2018-08-19,71
2018-08-26,72
2018-09-02,59
2018-09-09,67
2018-09-16,62
2018-09-23,61
2018-09-30,54
2018-10-07,62
2018-10-14,54
2018-10-21,50
2018-10-28,56
2018-11-04,54
2018-11-11,65
2018-11-18,73
2018-11-25,52
2018-12-02,51
2018-12-09,44
2018-12-16,34
2018-12-23,44
2018-12-30,52
