Category: All categories

Week,Shoes: (Portugal)
2012-01-01,78
2012-01-08,76
2012-01-15,75
2012-01-22,70
2012-01-29,76
2012-02-05,68
2012-02-12,79
2012-02-19,87
2012-02-26,78
2012-03-04,93
2012-03-11,91
2012-03-18,94
2012-03-25,92
2012-04-01,92
2012-04-08,89
2012-04-15,90
2012-04-22,87
2012-04-29,82
2012-05-06,89
2012-05-13,88
2012-05-20,86
2012-05-27,94
2012-06-03,96
2012-06-10,82
2012-06-17,79
2012-06-24,74
2012-07-01,77
2012-07-08,83
2012-07-15,73
2012-07-22,76
2012-07-29,78
2012-08-05,79
2012-08-12,75
2012-08-19,70
2012-08-26,77
2012-09-02,82
2012-09-09,83
2012-09-16,78
2012-09-23,100
2012-09-30,88
2012-10-07,86
2012-10-14,92
2012-10-21,93
2012-10-28,81
2012-11-04,77
2012-11-11,72
2012-11-18,69
2012-11-25,79
2012-12-02,77
2012-12-09,77
2012-12-16,66
2012-12-23,80
2012-12-30,74
