Category: All categories

Week,Tobacco: (Portugal)
2012-01-01,72
2012-01-08,42
2012-01-15,76
2012-01-22,48
2012-01-29,36
2012-02-05,63
2012-02-12,33
2012-02-19,46
2012-02-26,28
2012-03-04,42
2012-03-11,46
2012-03-18,56
2012-03-25,20
2012-04-01,23
2012-04-08,59
2012-04-15,54
2012-04-22,35
2012-04-29,59
2012-05-06,58
2012-05-13,52
2012-05-20,39
2012-05-27,62
2012-06-03,51
2012-06-10,42
2012-06-17,48
2012-06-24,0
2012-07-01,79
2012-07-08,51
2012-07-15,37
2012-07-22,26
2012-07-29,47
2012-08-05,27
2012-08-12,100
2012-08-19,46
2012-08-26,42
2012-09-02,35
2012-09-09,55
2012-09-16,56
2012-09-23,68
2012-09-30,39
2012-10-07,26
2012-10-14,60
2012-10-21,37
2012-10-28,45
2012-11-04,61
2012-11-11,0
2012-11-18,42
2012-11-25,43
2012-12-02,44
2012-12-09,30
2012-12-16,21
2012-12-23,36
2012-12-30,22
2013-01-06,24
2013-01-13,41
2013-01-20,46
2013-01-27,0
2013-02-03,57
2013-02-10,39
2013-02-17,48
2013-02-24,50
2013-03-03,19
2013-03-10,51
2013-03-17,27
2013-03-24,48
2013-03-31,16
2013-04-07,55
2013-04-14,34
2013-04-21,65
2013-04-28,31
2013-05-05,36
2013-05-12,54
2013-05-19,26
2013-05-26,57
2013-06-02,38
2013-06-09,42
2013-06-16,66
2013-06-23,39
2013-06-30,43
2013-07-07,93
2013-07-14,40
2013-07-21,58
2013-07-28,34
2013-08-04,45
2013-08-11,15
2013-08-18,13
2013-08-25,52
2013-09-01,57
2013-09-08,37
2013-09-15,64
2013-09-22,28
2013-09-29,48
2013-10-06,63
2013-10-13,30
2013-10-20,59
2013-10-27,52
2013-11-03,48
2013-11-10,66
2013-11-17,64
2013-11-24,75
2013-12-01,49
2013-12-08,31
2013-12-15,72
2013-12-22,35
2013-12-29,31
