Category: All categories

Week,Energy: (Portugal),Novel: (Portugal)
2014-01-05,84,6
2014-01-12,80,7
2014-01-19,77,6
2014-01-26,81,5
2014-02-02,71,4
2014-02-09,79,7
2014-02-16,71,7
2014-02-23,73,8
2014-03-02,69,6
2014-03-09,72,4
2014-03-16,79,4
2014-03-23,85,4
2014-03-30,76,3
2014-04-06,60,6
2014-04-13,59,4
2014-04-20,67,6
2014-04-27,66,5
2014-05-04,77,8
2014-05-11,86,8
2014-05-18,99,3
2014-05-25,100,7
2014-06-01,94,6
2014-06-08,88,8
2014-06-15,83,5
2014-06-22,79,8
2014-06-29,67,4
2014-07-06,68,9
2014-07-13,60,6
2014-07-20,51,8
2014-07-27,49,5
2014-08-03,47,6
2014-08-10,43,6
2014-08-17,51,6
2014-08-24,46,7
2014-08-31,62,4
2014-09-07,54,6
2014-09-14,67,5
2014-09-21,65,6
2014-09-28,69,5
2014-10-05,78,4
2014-10-12,70,5
2014-10-19,64,6
2014-10-26,72,6
2014-11-02,71,8
2014-11-09,78,5
2014-11-16,66,8
2014-11-23,64,4
2014-11-30,63,4
2014-12-07,70,7
2014-12-14,63,4
2014-12-21,58,4
2014-12-28,73,3
