Category: All categories

Week,Jam: (Portugal)
2009-01-04,14
2009-01-11,30
2009-01-18,25
2009-01-25,25
2009-02-01,28
2009-02-08,25
2009-02-15,28
2009-02-22,28
2009-03-01,21
2009-03-08,17
2009-03-15,21
2009-03-22,28
2009-03-29,30
2009-04-05,61
2009-04-12,31
2009-04-19,34
2009-04-26,23
2009-05-03,20
2009-05-10,22
2009-05-17,25
2009-05-24,32
2009-05-31,27
2009-06-07,28
2009-06-14,27
2009-06-21,32
2009-06-28,21
2009-07-05,21
2009-07-12,30
2009-07-19,22
2009-07-26,37
2009-08-02,43
2009-08-09,36
2009-08-16,39
2009-08-23,44
2009-08-30,47
2009-09-06,38
2009-09-13,30
2009-09-20,39
2009-09-27,43
2009-10-04,41
2009-10-11,32
2009-10-18,31
2009-10-25,34
2009-11-01,29
2009-11-08,35
2009-11-15,30
2009-11-22,28
2009-11-29,39
2009-12-06,54
2009-12-13,57
2009-12-20,100
2009-12-27,48
