Category: All categories

Week,Video game: (Portugal)
2013-01-06,73
2013-01-13,79
2013-01-20,75
2013-01-27,73
2013-02-03,72
2013-02-10,90
2013-02-17,71
2013-02-24,68
2013-03-03,70
2013-03-10,74
2013-03-17,96
2013-03-24,95
2013-03-31,75
2013-04-07,68
2013-04-14,69
2013-04-21,72
2013-04-28,72
2013-05-05,65
2013-05-12,68
2013-05-19,64
2013-05-26,59
2013-06-02,66
2013-06-09,83
2013-06-16,77
2013-06-23,80
2013-06-30,76
2013-07-07,80
2013-07-14,80
2013-07-21,80
2013-07-28,82
2013-08-04,83
2013-08-11,85
2013-08-18,85
2013-08-25,79
2013-09-01,82
2013-09-08,79
2013-09-15,63
2013-09-22,66
2013-09-29,64
2013-10-06,66
2013-10-13,65
2013-10-20,62
2013-10-27,58
2013-11-03,67
2013-11-10,65
2013-11-17,63
2013-11-24,61
2013-12-01,66
2013-12-08,70
2013-12-15,87
2013-12-22,100
2013-12-29,90
2014-01-05,62
2014-01-12,61
2014-01-19,63
2014-01-26,63
2014-02-02,60
2014-02-09,63
2014-02-16,63
2014-02-23,61
2014-03-02,69
2014-03-09,52
2014-03-16,52
2014-03-23,53
2014-03-30,59
2014-04-06,68
2014-04-13,70
2014-04-20,58
2014-04-27,53
2014-05-04,44
2014-05-11,49
2014-05-18,49
2014-05-25,51
2014-06-01,57
2014-06-08,63
2014-06-15,61
2014-06-22,63
2014-06-29,61
2014-07-06,64
2014-07-13,62
2014-07-20,62
2014-07-27,64
2014-08-03,65
2014-08-10,66
2014-08-17,65
2014-08-24,63
2014-08-31,62
2014-09-07,59
2014-09-14,52
2014-09-21,51
2014-09-28,52
2014-10-05,52
2014-10-12,52
2014-10-19,49
2014-10-26,45
2014-11-02,54
2014-11-09,50
2014-11-16,55
2014-11-23,54
2014-11-30,55
2014-12-07,60
2014-12-14,63
2014-12-21,85
2014-12-28,70
