Category: All categories

Week,Dessert: (Portugal)
2017-01-01,39
2017-01-08,44
2017-01-15,59
2017-01-22,58
2017-01-29,47
2017-02-05,62
2017-02-12,66
2017-02-19,55
2017-02-26,64
2017-03-05,45
2017-03-12,52
2017-03-19,53
2017-03-26,57
2017-04-02,52
2017-04-09,67
2017-04-16,49
2017-04-23,47
2017-04-30,52
2017-05-07,48
2017-05-14,48
2017-05-21,44
2017-05-28,51
2017-06-04,51
2017-06-11,57
2017-06-18,46
2017-06-25,48
2017-07-02,47
2017-07-09,56
2017-07-16,48
2017-07-23,48
2017-07-30,55
2017-08-06,54
2017-08-13,58
2017-08-20,52
2017-08-27,55
2017-09-03,53
2017-09-10,41
2017-09-17,44
2017-09-24,47
2017-10-01,51
2017-10-08,52
2017-10-15,44
2017-10-22,54
2017-10-29,63
2017-11-05,44
2017-11-12,49
2017-11-19,38
2017-11-26,46
2017-12-03,46
2017-12-10,55
2017-12-17,93
2017-12-24,91
2017-12-31,55
2018-01-07,44
2018-01-14,51
2018-01-21,51
2018-01-28,59
2018-02-04,56
2018-02-11,71
2018-02-18,48
2018-02-25,57
2018-03-04,48
2018-03-11,64
2018-03-18,55
2018-03-25,86
2018-04-01,52
2018-04-08,48
2018-04-15,50
2018-04-22,59
2018-04-29,54
2018-05-06,55
2018-05-13,56
2018-05-20,41
2018-05-27,50
2018-06-03,48
2018-06-10,46
2018-06-17,48
2018-06-24,45
2018-07-01,45
2018-07-08,47
2018-07-15,55
2018-07-22,50
2018-07-29,56
2018-08-05,52
2018-08-12,56
2018-08-19,55
2018-08-26,48
2018-09-02,50
2018-09-09,39
2018-09-16,39
2018-09-23,39
2018-09-30,55
2018-10-07,48
2018-10-14,51
2018-10-21,45
2018-10-28,55
2018-11-04,49
2018-11-11,46
2018-11-18,52
2018-11-25,44
2018-12-02,45
2018-12-09,51
2018-12-16,72
2018-12-23,100
2018-12-30,74
