Category: All categories

Week,Energy: (Portugal),Petroleum: (Portugal)
2016-01-03,93,28
2016-01-10,83,35
2016-01-17,89,38
2016-01-24,81,31
2016-01-31,76,28
2016-02-07,67,27
2016-02-14,80,27
2016-02-21,86,26
2016-02-28,91,26
2016-03-06,84,25
2016-03-13,78,24
2016-03-20,67,18
2016-03-27,65,18
2016-04-03,80,18
2016-04-10,87,25
2016-04-17,87,21
2016-04-24,86,17
2016-05-01,93,20
2016-05-08,97,19
2016-05-15,100,21
2016-05-22,93,24
2016-05-29,97,23
2016-06-05,75,16
2016-06-12,83,14
2016-06-19,57,16
2016-06-26,63,12
2016-07-03,58,17
2016-07-10,57,16
2016-07-17,58,12
2016-07-24,56,17
2016-07-31,46,13
2016-08-07,45,17
2016-08-14,44,12
2016-08-21,52,19
2016-08-28,66,16
2016-09-04,59,15
2016-09-11,60,18
2016-09-18,68,17
2016-09-25,74,11
2016-10-02,74,22
2016-10-09,72,20
2016-10-16,74,17
2016-10-23,76,15
2016-10-30,70,14
2016-11-06,90,21
2016-11-13,80,17
2016-11-20,79,15
2016-11-27,76,22
2016-12-04,68,18
2016-12-11,62,20
2016-12-18,48,18
2016-12-25,57,17
