Category: All categories

Week,Energy: (Portugal),Hairdresser: (Portugal)
2018-01-07,82,53
2018-01-14,86,48
2018-01-21,85,51
2018-01-28,79,50
2018-02-04,72,51
2018-02-11,71,57
2018-02-18,82,62
2018-02-25,78,53
2018-03-04,82,53
2018-03-11,95,55
2018-03-18,83,61
2018-03-25,85,65
2018-04-01,82,52
2018-04-08,80,54
2018-04-15,90,49
2018-04-22,85,57
2018-04-29,89,65
2018-05-06,79,64
2018-05-13,80,53
2018-05-20,92,51
2018-05-27,77,59
2018-06-03,100,59
2018-06-10,82,57
2018-06-17,67,57
2018-06-24,59,63
2018-07-01,58,68
2018-07-08,55,65
2018-07-15,60,65
2018-07-22,59,65
2018-07-29,55,75
2018-08-05,50,75
2018-08-12,53,75
2018-08-19,55,64
2018-08-26,54,68
2018-09-02,59,72
2018-09-09,56,69
2018-09-16,59,68
2018-09-23,76,63
2018-09-30,69,59
2018-10-07,88,58
2018-10-14,74,73
2018-10-21,76,62
2018-10-28,68,53
2018-11-04,75,53
2018-11-11,76,55
2018-11-18,79,57
2018-11-25,80,60
2018-12-02,81,64
2018-12-09,66,65
2018-12-16,63,66
2018-12-23,49,74
2018-12-30,65,63
