Category: All categories

Week,Energy: (Portugal),Dessert: (Portugal)
2018-01-07,82,30
2018-01-14,86,38
2018-01-21,85,37
2018-01-28,79,40
2018-02-04,72,40
2018-02-11,71,51
2018-02-18,82,36
2018-02-25,78,40
2018-03-04,82,33
2018-03-11,95,46
2018-03-18,83,40
2018-03-25,85,58
2018-04-01,82,36
2018-04-08,79,31
2018-04-15,90,34
2018-04-22,85,41
2018-04-29,89,34
2018-05-06,79,37
2018-05-13,80,37
2018-05-20,92,29
2018-05-27,77,33
2018-06-03,100,34
2018-06-10,82,33
2018-06-17,67,33
2018-06-24,59,34
2018-07-01,58,31
2018-07-08,55,34
2018-07-15,60,36
2018-07-22,59,35
2018-07-29,55,39
2018-08-05,51,34
2018-08-12,53,40
2018-08-19,55,38
2018-08-26,54,33
2018-09-02,59,32
2018-09-09,56,27
2018-09-16,59,28
2018-09-23,76,29
2018-09-30,69,41
2018-10-07,88,34
2018-10-14,74,31
2018-10-21,76,30
2018-10-28,68,42
2018-11-04,75,35
2018-11-11,76,32
2018-11-18,79,37
2018-11-25,81,31
2018-12-02,81,31
2018-12-09,66,33
2018-12-16,63,50
2018-12-23,49,66
2018-12-30,65,51
