Category: All categories

Week,Energy: (Portugal),Travel agency: (Portugal)
2006-01-01,65,29
2006-01-08,66,28
2006-01-15,60,35
2006-01-22,52,31
2006-01-29,58,35
2006-02-05,63,38
2006-02-12,44,31
2006-02-19,66,34
2006-02-26,56,28
2006-03-05,55,36
2006-03-12,57,44
2006-03-19,60,33
2006-03-26,51,37
2006-04-02,44,39
2006-04-09,42,36
2006-04-16,62,34
2006-04-23,63,40
2006-04-30,83,40
2006-05-07,92,50
2006-05-14,86,31
2006-05-21,100,35
2006-05-28,75,36
2006-06-04,97,41
2006-06-11,60,36
2006-06-18,41,41
2006-06-25,38,42
2006-07-02,33,47
2006-07-09,33,53
2006-07-16,33,57
2006-07-23,34,51
2006-07-30,28,61
2006-08-06,30,52
2006-08-13,28,39
2006-08-20,24,36
2006-08-27,35,32
2006-09-03,26,29
2006-09-10,28,32
2006-09-17,40,21
2006-09-24,52,21
2006-10-01,61,24
2006-10-08,55,17
2006-10-15,51,20
2006-10-22,62,17
2006-10-29,49,21
2006-11-05,54,16
2006-11-12,45,21
2006-11-19,56,17
2006-11-26,50,18
2006-12-03,47,14
2006-12-10,48,11
2006-12-17,32,9
2006-12-24,29,19
2006-12-31,39,24
