Category: All categories

Week,Lawyer: (Portugal)
2017-01-01,83
2017-01-08,82
2017-01-15,79
2017-01-22,82
2017-01-29,94
2017-02-05,80
2017-02-12,82
2017-02-19,98
2017-02-26,69
2017-03-05,83
2017-03-12,92
2017-03-19,95
2017-03-26,91
2017-04-02,80
2017-04-09,64
2017-04-16,81
2017-04-23,81
2017-04-30,78
2017-05-07,77
2017-05-14,83
2017-05-21,100
2017-05-28,87
2017-06-04,88
2017-06-11,69
2017-06-18,89
2017-06-25,82
2017-07-02,94
2017-07-09,73
2017-07-16,79
2017-07-23,73
2017-07-30,70
2017-08-06,67
2017-08-13,51
2017-08-20,60
2017-08-27,69
2017-09-03,83
2017-09-10,80
2017-09-17,93
2017-09-24,87
2017-10-01,83
2017-10-08,97
2017-10-15,93
2017-10-22,94
2017-10-29,79
2017-11-05,99
2017-11-12,91
2017-11-19,87
2017-11-26,80
2017-12-03,80
2017-12-10,99
2017-12-17,90
2017-12-24,57
2017-12-31,76
