Category: All categories

Week,Automotive industry: (Portugal)
2016-01-03,0
2016-01-10,41
2016-01-17,46
2016-01-24,42
2016-01-31,45
2016-02-07,50
2016-02-14,70
2016-02-21,52
2016-02-28,27
2016-03-06,32
2016-03-13,74
2016-03-20,45
2016-03-27,28
2016-04-03,54
2016-04-10,41
2016-04-17,19
2016-04-24,61
2016-05-01,89
2016-05-08,31
2016-05-15,37
2016-05-22,59
2016-05-29,0
2016-06-05,64
2016-06-12,31
2016-06-19,51
2016-06-26,0
2016-07-03,100
2016-07-10,0
2016-07-17,63
2016-07-24,0
2016-07-31,0
2016-08-07,0
2016-08-14,0
2016-08-21,24
2016-08-28,0
2016-09-04,35
2016-09-11,0
2016-09-18,28
2016-09-25,47
2016-10-02,37
2016-10-09,81
2016-10-16,38
2016-10-23,60
2016-10-30,46
2016-11-06,35
2016-11-13,37
2016-11-20,44
2016-11-27,58
2016-12-04,19
2016-12-11,55
2016-12-18,0
2016-12-25,0
2017-01-01,41
2017-01-08,46
2017-01-15,22
2017-01-22,56
2017-01-29,36
2017-02-05,0
2017-02-12,39
2017-02-19,75
2017-02-26,78
2017-03-05,67
2017-03-12,39
2017-03-19,20
2017-03-26,40
2017-04-02,0
2017-04-09,36
2017-04-16,37
2017-04-23,0
2017-04-30,34
2017-05-07,37
2017-05-14,55
2017-05-21,76
2017-05-28,51
2017-06-04,24
2017-06-11,92
2017-06-18,37
2017-06-25,57
2017-07-02,20
2017-07-09,0
2017-07-16,50
2017-07-23,45
2017-07-30,34
2017-08-06,29
2017-08-13,0
2017-08-20,62
2017-08-27,24
2017-09-03,25
2017-09-10,38
2017-09-17,45
2017-09-24,55
2017-10-01,45
2017-10-08,31
2017-10-15,55
2017-10-22,0
2017-10-29,33
2017-11-05,22
2017-11-12,22
2017-11-19,50
2017-11-26,51
2017-12-03,44
2017-12-10,0
2017-12-17,25
2017-12-24,42
2017-12-31,0
