Category: All categories

Week,Mercedes-Benz: (Portugal)
2016-01-03,89
2016-01-10,87
2016-01-17,84
2016-01-24,89
2016-01-31,80
2016-02-07,89
2016-02-14,87
2016-02-21,87
2016-02-28,79
2016-03-06,88
2016-03-13,87
2016-03-20,92
2016-03-27,82
2016-04-03,86
2016-04-10,88
2016-04-17,83
2016-04-24,81
2016-05-01,81
2016-05-08,83
2016-05-15,80
2016-05-22,85
2016-05-29,76
2016-06-05,81
2016-06-12,80
2016-06-19,76
2016-06-26,81
2016-07-03,86
2016-07-10,75
2016-07-17,87
2016-07-24,80
2016-07-31,87
2016-08-07,88
2016-08-14,91
2016-08-21,86
2016-08-28,87
2016-09-04,86
2016-09-11,88
2016-09-18,92
2016-09-25,94
2016-10-02,92
2016-10-09,91
2016-10-16,93
2016-10-23,95
2016-10-30,94
2016-11-06,91
2016-11-13,100
2016-11-20,94
2016-11-27,69
2016-12-04,13
2016-12-11,12
2016-12-18,9
2016-12-25,16
