Category: All categories

Week,Real Estate: (Portugal)
2011-01-02,97
2011-01-09,92
2011-01-16,95
2011-01-23,92
2011-01-30,100
2011-02-06,97
2011-02-13,92
2011-02-20,97
2011-02-27,92
2011-03-06,90
2011-03-13,89
2011-03-20,89
2011-03-27,87
2011-04-03,81
2011-04-10,82
2011-04-17,82
2011-04-24,81
2011-05-01,81
2011-05-08,77
2011-05-15,84
2011-05-22,92
2011-05-29,84
2011-06-05,79
2011-06-12,86
2011-06-19,74
2011-06-26,76
2011-07-03,88
2011-07-10,81
2011-07-17,87
2011-07-24,79
2011-07-31,83
2011-08-07,89
2011-08-14,84
2011-08-21,95
2011-08-28,85
2011-09-04,79
2011-09-11,86
2011-09-18,80
2011-09-25,95
2011-10-02,86
2011-10-09,90
2011-10-16,76
2011-10-23,62
2011-10-30,68
2011-11-06,63
2011-11-13,69
2011-11-20,67
2011-11-27,65
2011-12-04,55
2011-12-11,60
2011-12-18,49
2011-12-25,65
2012-01-01,74
2012-01-08,74
2012-01-15,72
2012-01-22,75
2012-01-29,72
2012-02-05,70
2012-02-12,69
2012-02-19,71
2012-02-26,68
2012-03-04,68
2012-03-11,66
2012-03-18,65
2012-03-25,60
2012-04-01,63
2012-04-08,66
2012-04-15,78
2012-04-22,67
2012-04-29,69
2012-05-06,61
2012-05-13,63
2012-05-20,63
2012-05-27,60
2012-06-03,61
2012-06-10,60
2012-06-17,55
2012-06-24,55
2012-07-01,59
2012-07-08,65
2012-07-15,64
2012-07-22,67
2012-07-29,68
2012-08-05,67
2012-08-12,73
2012-08-19,76
2012-08-26,79
2012-09-02,69
2012-09-09,68
2012-09-16,64
2012-09-23,65
2012-09-30,66
2012-10-07,64
2012-10-14,60
2012-10-21,68
2012-10-28,59
2012-11-04,62
2012-11-11,59
2012-11-18,58
2012-11-25,61
2012-12-02,57
2012-12-09,48
2012-12-16,47
2012-12-23,51
2012-12-30,59
