Category: All categories

Week,Tobacco: (Portugal)
2010-01-03,63
2010-01-10,64
2010-01-17,28
2010-01-24,96
2010-01-31,78
2010-02-07,67
2010-02-14,80
2010-02-21,22
2010-02-28,35
2010-03-07,54
2010-03-14,100
2010-03-21,75
2010-03-28,66
2010-04-04,45
2010-04-11,50
2010-04-18,25
2010-04-25,54
2010-05-02,45
2010-05-09,35
2010-05-16,34
2010-05-23,0
2010-05-30,0
2010-06-06,50
2010-06-13,0
2010-06-20,30
2010-06-27,80
2010-07-04,0
2010-07-11,32
2010-07-18,47
2010-07-25,52
2010-08-01,86
2010-08-08,0
2010-08-15,0
2010-08-22,0
2010-08-29,0
2010-09-05,0
2010-09-12,29
2010-09-19,0
2010-09-26,53
2010-10-03,46
2010-10-10,64
2010-10-17,0
2010-10-24,66
2010-10-31,56
2010-11-07,86
2010-11-14,78
2010-11-21,66
2010-11-28,36
2010-12-05,69
2010-12-12,35
2010-12-19,50
2010-12-26,50
