Category: All categories

Week,Energy: (Portugal)
2017-01-01,63
2017-01-08,84
2017-01-15,93
2017-01-22,79
2017-01-29,79
2017-02-05,78
2017-02-12,77
2017-02-19,77
2017-02-26,75
2017-03-05,86
2017-03-12,89
2017-03-19,81
2017-03-26,86
2017-04-02,64
2017-04-09,67
2017-04-16,67
2017-04-23,77
2017-04-30,82
2017-05-07,86
2017-05-14,85
2017-05-21,85
2017-05-28,100
2017-06-04,88
2017-06-11,78
2017-06-18,60
2017-06-25,57
2017-07-02,64
2017-07-09,57
2017-07-16,61
2017-07-23,50
2017-07-30,50
2017-08-06,48
2017-08-13,49
2017-08-20,51
2017-08-27,52
2017-09-03,53
2017-09-10,55
2017-09-17,61
2017-09-24,64
2017-10-01,60
2017-10-08,66
2017-10-15,72
2017-10-22,66
2017-10-29,63
2017-11-05,68
2017-11-12,85
2017-11-19,67
2017-11-26,71
2017-12-03,68
2017-12-10,73
2017-12-17,57
2017-12-24,66
2017-12-31,78
