Category: All categories

Week,Shoes: (Portugal)
2017-01-01,75
2017-01-08,70
2017-01-15,63
2017-01-22,75
2017-01-29,69
2017-02-05,67
2017-02-12,67
2017-02-19,71
2017-02-26,73
2017-03-05,70
2017-03-12,76
2017-03-19,75
2017-03-26,78
2017-04-02,85
2017-04-09,91
2017-04-16,76
2017-04-23,79
2017-04-30,82
2017-05-07,79
2017-05-14,78
2017-05-21,87
2017-05-28,86
2017-06-04,87
2017-06-11,76
2017-06-18,69
2017-06-25,73
2017-07-02,81
2017-07-09,75
2017-07-16,67
2017-07-23,69
2017-07-30,70
2017-08-06,70
2017-08-13,65
2017-08-20,68
2017-08-27,71
2017-09-03,68
2017-09-10,82
2017-09-17,90
2017-09-24,87
2017-10-01,75
2017-10-08,84
2017-10-15,85
2017-10-22,83
2017-10-29,87
2017-11-05,88
2017-11-12,81
2017-11-19,82
2017-11-26,78
2017-12-03,87
2017-12-10,82
2017-12-17,72
2017-12-24,84
2017-12-31,73
2018-01-07,70
2018-01-14,72
2018-01-21,70
2018-01-28,65
2018-02-04,69
2018-02-11,65
2018-02-18,71
2018-02-25,66
2018-03-04,67
2018-03-11,73
2018-03-18,72
2018-03-25,72
2018-04-01,76
2018-04-08,70
2018-04-15,78
2018-04-22,82
2018-04-29,80
2018-05-06,94
2018-05-13,78
2018-05-20,83
2018-05-27,83
2018-06-03,81
2018-06-10,76
2018-06-17,72
2018-06-24,79
2018-07-01,78
2018-07-08,70
2018-07-15,77
2018-07-22,77
2018-07-29,72
2018-08-05,71
2018-08-12,69
2018-08-19,62
2018-08-26,63
2018-09-02,72
2018-09-09,71
2018-09-16,73
2018-09-23,71
2018-09-30,80
2018-10-07,85
2018-10-14,100
2018-10-21,95
2018-10-28,83
2018-11-04,80
2018-11-11,76
2018-11-18,85
2018-11-25,79
2018-12-02,77
2018-12-09,81
2018-12-16,71
2018-12-23,83
2018-12-30,72
