Category: All categories

Week,Energy: (Portugal),Restaurant: (Portugal)
2018-01-07,5,44
2018-01-14,5,46
2018-01-21,5,48
2018-01-28,5,46
2018-02-04,5,55
2018-02-11,5,68
2018-02-18,5,50
2018-02-25,5,49
2018-03-04,5,48
2018-03-11,6,44
2018-03-18,5,53
2018-03-25,5,71
2018-04-01,5,50
2018-04-08,5,47
2018-04-15,6,44
2018-04-22,6,59
2018-04-29,6,61
2018-05-06,5,58
2018-05-13,5,51
2018-05-20,6,54
2018-05-27,5,58
2018-06-03,6,54
2018-06-10,5,50
2018-06-17,4,50
2018-06-24,4,54
2018-07-01,4,61
2018-07-08,3,61
2018-07-15,4,70
2018-07-22,4,72
2018-07-29,4,73
2018-08-05,3,86
2018-08-12,3,100
2018-08-19,4,94
2018-08-26,3,81
2018-09-02,4,72
2018-09-09,4,67
2018-09-16,4,66
2018-09-23,5,60
2018-09-30,4,72
2018-10-07,6,57
2018-10-14,5,58
2018-10-21,5,59
2018-10-28,4,62
2018-11-04,5,52
2018-11-11,5,56
2018-11-18,5,55
2018-11-25,5,57
2018-12-02,5,64
2018-12-09,4,61
2018-12-16,4,61
2018-12-23,3,72
2018-12-30,4,76
