Category: All categories

Week,Petroleum: (Portugal)
2009-01-04,55
2009-01-11,65
2009-01-18,75
2009-01-25,51
2009-02-01,55
2009-02-08,49
2009-02-15,66
2009-02-22,51
2009-03-01,56
2009-03-08,64
2009-03-15,36
2009-03-22,39
2009-03-29,34
2009-04-05,25
2009-04-12,44
2009-04-19,40
2009-04-26,44
2009-05-03,43
2009-05-10,68
2009-05-17,60
2009-05-24,80
2009-05-31,53
2009-06-07,53
2009-06-14,51
2009-06-21,44
2009-06-28,49
2009-07-05,33
2009-07-12,34
2009-07-19,47
2009-07-26,34
2009-08-02,36
2009-08-09,51
2009-08-16,50
2009-08-23,17
2009-08-30,39
2009-09-06,15
2009-09-13,22
2009-09-20,38
2009-09-27,57
2009-10-04,47
2009-10-11,38
2009-10-18,42
2009-10-25,40
2009-11-01,46
2009-11-08,57
2009-11-15,31
2009-11-22,48
2009-11-29,32
2009-12-06,36
2009-12-13,49
2009-12-20,29
2009-12-27,32
2010-01-03,49
2010-01-10,41
2010-01-17,27
2010-01-24,36
2010-01-31,43
2010-02-07,40
2010-02-14,42
2010-02-21,35
2010-02-28,36
2010-03-07,60
2010-03-14,32
2010-03-21,44
2010-03-28,18
2010-04-04,44
2010-04-11,47
2010-04-18,43
2010-04-25,44
2010-05-02,73
2010-05-09,45
2010-05-16,85
2010-05-23,52
2010-05-30,100
2010-06-06,75
2010-06-13,47
2010-06-20,44
2010-06-27,55
2010-07-04,32
2010-07-11,35
2010-07-18,47
2010-07-25,21
2010-08-01,12
2010-08-08,21
2010-08-15,36
2010-08-22,30
2010-08-29,42
2010-09-05,41
2010-09-12,27
2010-09-19,56
2010-09-26,55
2010-10-03,27
2010-10-10,31
2010-10-17,42
2010-10-24,38
2010-10-31,30
2010-11-07,48
2010-11-14,47
2010-11-21,53
2010-11-28,43
2010-12-05,24
2010-12-12,66
2010-12-19,43
2010-12-26,41
