Category: All categories

Week,Energy: (Portugal),Travel agency: (Portugal)
2008-01-06,71,29
2008-01-13,66,26
2008-01-20,61,20
2008-01-27,62,27
2008-02-03,54,19
2008-02-10,61,22
2008-02-17,73,22
2008-02-24,73,23
2008-03-02,72,28
2008-03-09,60,23
2008-03-16,53,29
2008-03-23,47,29
2008-03-30,74,29
2008-04-06,68,24
2008-04-13,68,28
2008-04-20,82,28
2008-04-27,66,26
2008-05-04,89,25
2008-05-11,82,25
2008-05-18,90,27
2008-05-25,100,22
2008-06-01,95,29
2008-06-08,76,20
2008-06-15,69,31
2008-06-22,55,27
2008-06-29,50,26
2008-07-06,51,34
2008-07-13,60,33
2008-07-20,35,39
2008-07-27,31,43
2008-08-03,34,42
2008-08-10,28,27
2008-08-17,38,30
2008-08-24,32,22
2008-08-31,36,25
2008-09-07,39,19
2008-09-14,52,22
2008-09-21,59,19
2008-09-28,61,17
2008-10-05,66,12
2008-10-12,60,14
2008-10-19,58,15
2008-10-26,59,13
2008-11-02,53,16
2008-11-09,65,13
2008-11-16,72,13
2008-11-23,61,16
2008-11-30,57,13
2008-12-07,54,14
2008-12-14,63,10
2008-12-21,40,9
2008-12-28,51,13
