Category: All categories

Week,Energy: (Portugal),Footwear: (Portugal)
2015-01-04,88,0
2015-01-11,100,3
2015-01-18,92,0
2015-01-25,87,2
2015-02-01,77,1
2015-02-08,77,4
2015-02-15,67,3
2015-02-22,93,3
2015-03-01,83,2
2015-03-08,82,1
2015-03-15,81,1
2015-03-22,73,1
2015-03-29,57,0
2015-04-05,72,0
2015-04-12,81,0
2015-04-19,76,1
2015-04-26,71,1
2015-05-03,77,3
2015-05-10,82,1
2015-05-17,77,1
2015-05-24,82,0
2015-05-31,71,0
2015-06-07,74,0
2015-06-14,66,0
2015-06-21,56,1
2015-06-28,55,0
2015-07-05,50,2
2015-07-12,50,2
2015-07-19,50,1
2015-07-26,56,2
2015-08-02,41,2
2015-08-09,43,0
2015-08-16,46,1
2015-08-23,46,1
2015-08-30,53,1
2015-09-06,52,0
2015-09-13,50,2
2015-09-20,58,1
2015-09-27,63,1
2015-10-04,63,4
2015-10-11,66,1
2015-10-18,64,1
2015-10-25,68,0
2015-11-01,69,2
2015-11-08,63,2
2015-11-15,64,0
2015-11-22,68,1
2015-11-29,71,0
2015-12-06,60,1
2015-12-13,64,1
2015-12-20,40,1
2015-12-27,51,3
