Category: All categories

Week,Electricity: (Portugal)
2011-01-02,46
2011-01-09,63
2011-01-16,49
2011-01-23,60
2011-01-30,51
2011-02-06,51
2011-02-13,55
2011-02-20,47
2011-02-27,61
2011-03-06,48
2011-03-13,53
2011-03-20,51
2011-03-27,48
2011-04-03,47
2011-04-10,41
2011-04-17,42
2011-04-24,43
2011-05-01,56
2011-05-08,51
2011-05-15,52
2011-05-22,54
2011-05-29,55
2011-06-05,52
2011-06-12,42
2011-06-19,36
2011-06-26,33
2011-07-03,39
2011-07-10,38
2011-07-17,38
2011-07-24,41
2011-07-31,42
2011-08-07,48
2011-08-14,39
2011-08-21,36
2011-08-28,52
2011-09-04,47
2011-09-11,51
2011-09-18,65
2011-09-25,54
2011-10-02,56
2011-10-09,42
2011-10-16,55
2011-10-23,60
2011-10-30,51
2011-11-06,46
2011-11-13,49
2011-11-20,46
2011-11-27,49
2011-12-04,57
2011-12-11,50
2011-12-18,39
2011-12-25,38
2012-01-01,54
2012-01-08,69
2012-01-15,62
2012-01-22,57
2012-01-29,49
2012-02-05,65
2012-02-12,63
2012-02-19,63
2012-02-26,59
2012-03-04,53
2012-03-11,54
2012-03-18,52
2012-03-25,58
2012-04-01,42
2012-04-08,50
2012-04-15,59
2012-04-22,58
2012-04-29,73
2012-05-06,85
2012-05-13,68
2012-05-20,68
2012-05-27,63
2012-06-03,53
2012-06-10,46
2012-06-17,51
2012-06-24,47
2012-07-01,66
2012-07-08,51
2012-07-15,52
2012-07-22,50
2012-07-29,40
2012-08-05,51
2012-08-12,43
2012-08-19,48
2012-08-26,31
2012-09-02,48
2012-09-09,64
2012-09-16,54
2012-09-23,55
2012-09-30,46
2012-10-07,48
2012-10-14,67
2012-10-21,57
2012-10-28,53
2012-11-04,58
2012-11-11,51
2012-11-18,52
2012-11-25,60
2012-12-02,72
2012-12-09,70
2012-12-16,91
2012-12-23,100
2012-12-30,93
