Category: All categories

Week,Energy: (Portugal)
2016-01-03,93
2016-01-10,83
2016-01-17,85
2016-01-24,79
2016-01-31,79
2016-02-07,67
2016-02-14,81
2016-02-21,88
2016-02-28,92
2016-03-06,84
2016-03-13,79
2016-03-20,67
2016-03-27,68
2016-04-03,80
2016-04-10,90
2016-04-17,87
2016-04-24,87
2016-05-01,89
2016-05-08,95
2016-05-15,100
2016-05-22,93
2016-05-29,95
2016-06-05,76
2016-06-12,83
2016-06-19,57
2016-06-26,60
2016-07-03,58
2016-07-10,56
2016-07-17,61
2016-07-24,58
2016-07-31,49
2016-08-07,45
2016-08-14,44
2016-08-21,52
2016-08-28,63
2016-09-04,56
2016-09-11,60
2016-09-18,66
2016-09-25,73
2016-10-02,74
2016-10-09,72
2016-10-16,73
2016-10-23,77
2016-10-30,70
2016-11-06,87
2016-11-13,82
2016-11-20,78
2016-11-27,77
2016-12-04,66
2016-12-11,61
2016-12-18,49
2016-12-25,56
