Category: All categories

Week,Energy: (Portugal),Amusement park: (Portugal)
2014-01-05,85,2
2014-01-12,80,4
2014-01-19,80,2
2014-01-26,82,1
2014-02-02,73,3
2014-02-09,80,2
2014-02-16,71,1
2014-02-23,76,2
2014-03-02,68,4
2014-03-09,72,2
2014-03-16,81,2
2014-03-23,86,3
2014-03-30,77,3
2014-04-06,62,5
2014-04-13,61,3
2014-04-20,67,7
2014-04-27,67,4
2014-05-04,79,5
2014-05-11,86,5
2014-05-18,99,2
2014-05-25,100,3
2014-06-01,97,5
2014-06-08,88,4
2014-06-15,84,4
2014-06-22,78,6
2014-06-29,69,7
2014-07-06,69,4
2014-07-13,61,5
2014-07-20,52,6
2014-07-27,51,5
2014-08-03,48,8
2014-08-10,41,7
2014-08-17,51,7
2014-08-24,46,8
2014-08-31,62,3
2014-09-07,56,2
2014-09-14,66,5
2014-09-21,66,2
2014-09-28,72,4
2014-10-05,79,3
2014-10-12,71,3
2014-10-19,64,2
2014-10-26,74,1
2014-11-02,72,2
2014-11-09,76,2
2014-11-16,67,4
2014-11-23,66,1
2014-11-30,63,3
2014-12-07,74,2
2014-12-14,65,3
2014-12-21,58,4
2014-12-28,73,3
